x	y	z	w	!doppler
0.000000000000	0.6682128218908628	0.7000163434990295	0.6401935639409811	0.0000000
0.000244140625	0.05525121552339607	0.4056342824431942	0.6694674948813623	-0.3515151
0.000488281250	0.281178292046359	0.8852009030965277	0.8857234456518361	0.2907669
0.000732421875	0.7240846205964432	0.7519491593131221	0.6200769333192488	-0.4087501
0.000976562500	0.8134976319788721	0.48981756753708405	0.8089271136268079	0.7260038
0.001220703125	0.2193337917342486	0.2264295548081977	0.006321570395187992	0.7315072
0.001464843750	0.8250974015424899	0.42491988732191144	0.5688061044039013	-0.8605067
0.001708984375	0.8301589633878752	0.260244584456079	0.8751056057892908	0.5436428
0.001953125000	0.48109548606024277	0.636281533716741	0.04878721847143608	-0.6670782
0.002197265625	0.6214534379802924	0.9626791665943155	0.8357681589570496	-0.7991058
0.002441406250	0.308196856736515	0.0029399859938913364	0.3446240597483897	0.6237912
0.002685546875	0.9514255686557681	0.7524312483295166	0.3829978143845243	-0.0799964
0.002929687500	0.9437417048833773	0.6227425946875567	0.33250713647383623	0.7113602
0.003173828125	0.21325282086106667	0.36000064752925187	0.14782121316093233	-1.1492932
0.003417968750	0.9202828429659949	0.25199030351777174	0.12642959980751045	1.3565681
0.003662109375	0.4122904964410059	0.30171701098096404	0.5358914813220695	-1.4405345
0.003906250000	0.8239679668216364	0.9038424957767071	0.35231417171770085	-1.4034827
0.004150390625	0.8803388862168051	0.8332919190095219	0.2659116011532767	-0.0370247
0.004394531250	0.03016423987899841	0.26659812500624036	0.6114634229814202	-0.5742788
0.004638671875	0.5051519545035144	0.740926934878128	0.4634403580236618	1.2214734
0.004882812500	0.7533208656672887	0.5347504590597094	0.704309146272649	0.4981404
0.005126953125	0.626277976097768	0.12584949768618858	0.20924533967402614	-1.6069059
0.005371093750	0.18302687163339704	0.41864423015574714	0.04834071294834319	0.0125304
0.005615234375	0.3864032584712641	0.8229400944738147	0.4088541758825823	-0.0083421
0.005859375000	0.8319691907531004	0.837840887462817	0.89699320635252	1.7739877
0.006103515625	0.10894379895398554	0.9894873759485949	0.022459480436194057	0.4659106
0.006347656250	0.9457897066628747	0.04349025148092445	0.07905724483886745	0.8858671
0.006591796875	0.8353937877731455	0.16407446396675207	0.66267538846373	1.8646927
0.006835937500	0.45580918851394914	0.4500597539517137	0.8950929977653791	-1.2449326
0.007080078125	0.7469615520096599	0.17053860145176303	0.2820176213593403	1.8704632
0.007324218750	0.7637416865667557	0.19000716195862233	0.8770207971733799	1.5145822
0.007568359375	0.9207509880922097	0.3046186711517699	0.691956766725104	-2.0850454
0.007812500000	0.8877453318146112	0.5990935910942452	0.4225305043041062	1.1587985
0.008056640625	0.9469987678324322	0.45244101525370006	0.3999201889713776	1.8512031
0.008300781250	0.6607046277779504	0.367091001050294	0.9245832898429948	-0.0284873
0.008544921875	0.9358491210745253	0.045903234286896466	0.24801308900919727	-1.4345028
0.008789062500	0.7281460204133652	0.680088090058899	0.2298294752667177	0.3568140
0.009033203125	0.5544114281799323	0.9401797084258914	0.4751869241447685	2.2773619
0.009277343750	0.7526621699833249	0.1772611750321783	0.8643691484474857	2.1294156
0.009521484375	0.0013439218126523045	0.5172505158531711	0.600176910210546	2.2824085
0.009765625000	0.18654293411891254	0.1470457166524114	0.9814454806921832	-0.4138075
0.010009765625	0.4002617973453042	0.17517849523802909	0.2922025162022971	-1.3408222
0.010253906250	0.15124021576094504	0.9046927480501206	0.9182657375041912	1.3259362
0.010498046875	0.4875741354998443	0.18883680163774375	0.6259967888840086	0.4076851
0.010742187500	0.7724636318554539	0.3941650497334881	0.33745191060386615	-2.4816153
0.010986328125	0.8069819466041708	0.0413032974695452	0.6323985818203052	-1.2269675
0.011230468750	0.9086198969950595	0.5205434371257778	0.39626268193865677	-0.0575466
0.011474609375	0.8832646727026174	0.2779461160805291	0.2900740576349591	-0.2307593
0.011718750000	0.7078570656929651	0.6822668369165602	0.1917096179642065	-1.6259875
0.011962890625	0.12296520347602213	0.7634608502926393	0.35187820163147343	-2.5733122
0.012207031250	0.19940887655922557	0.1826930389448902	0.8143958852565336	0.3965113
0.012451171875	0.9293482418442081	0.6962902178245164	0.06424194128204208	2.2777254
0.012695312500	0.01689194240341929	0.2640851896669404	0.8850931110387901	-2.6332127
0.012939453125	0.7831251997313707	0.6098456516322116	0.6824719659036387	2.2518901
0.013183593750	0.9476927154739084	0.14002090770244247	0.1068738669520427	-2.2460186
0.013427734375	0.7478556487526744	0.8550145157426641	0.08104861861009949	2.6580356
0.013671875000	0.8709784950828305	0.6795844459951272	0.5375419745035951	-2.6127730
0.013916015625	0.03796998759392667	0.1872094598615489	0.9373475520933661	0.6913435
0.014160156250	0.5889328710730357	0.00310523081394809	0.3520331527003311	2.3989955
0.014404296875	0.3257073805400619	0.28170533087430183	0.27051386584927906	-1.6441770
0.014648437500	0.3576840168395139	0.7285955471807154	0.43665055805151576	-2.6758087
0.014892578125	0.35799691891033136	0.4655972781565916	0.24467733757104604	-0.2356891
0.015136718750	0.6065734734971792	0.6137352592524633	0.3350905376738983	2.0696854
0.015380859375	0.06187195574766746	0.11015891590636862	0.40688660237855256	2.9277812
0.015625000000	0.4017834840487583	0.8829485618595488	0.683205328829161	2.8826462
0.015869140625	0.6032214152934215	0.8848140021895997	0.09400143876597011	2.6734584
0.016113281250	0.9021641937786956	0.23488587645686054	0.14272991706848237	2.6712650
0.016357421875	0.1537397352100387	0.07886781024813894	0.8876380262614065	2.8988234
