x	y	z	!blocks
0.000244140625	0.5684524629540687	0.2728115279359725	-0.0961048
0.000732421875	0.6768452756094123	0.20600781094356302	0.1644203
0.001220703125	0.76673553639002	0.1270549905685483	1.2794516
0.001708984375	0.473343061250153	0.7798378755037979	-1.4404045
0.002197265625	0.4125410949512037	0.7448395858830474	1.3524323
0.002685546875	0.43798977983177934	0.807529046363739	0.4055436
0.003173828125	0.6724722758066359	0.795268496838026	3.2933719
0.003662109375	0.11505328015707961	0.6994239659327197	-3.0803378
0.004150390625	0.7818568849625767	0.1124529235526367	1.1314073
0.004638671875	0.23058419227341465	0.049314437929685706	-1.7616384
0.005126953125	0.7725527295170208	0.23410089123930156	-2.3203680
0.005615234375	0.46936448155213584	0.1399632662844943	0.8993919
0.006103515625	0.12573781757862423	0.024949881319236478	0.6613375
0.006591796875	0.36014488091018027	0.0381844007084593	-1.0738110
0.007080078125	0.598373271934586	0.1378811696810086	-2.3059548
0.007568359375	0.5828000039196642	0.1011677524989667	-0.4922956
0.008056640625	0.015971934109413777	0.6798117094194029	-1.8915457
0.008544921875	0.008101255121209405	0.9081167311542006	3.4358691
0.009033203125	0.52450112410743	0.4699678148959089	-0.1846463
0.009521484375	0.43412642724430794	0.7299004712997956	-3.9258439
0.010009765625	0.6506931228182854	0.7049016587270831	-0.8947295
0.010498046875	0.2928968600915225	0.6543044446246743	-1.2835881
0.010986328125	0.5327324783504808	0.6776202149080746	1.4401432
0.011474609375	0.5666521081854387	0.3955968851159056	-2.8579818
0.011962890625	0.8522343699779515	0.43745395339627957	2.2589507
0.012451171875	0.7752430220819727	0.6345108302097063	1.1301361
0.012939453125	0.3236237091948624	0.9228000889747798	1.4435638
0.013427734375	0.1744441155967581	0.4583741601596085	-1.7099987
0.013916015625	0.07846982052745466	0.15063334455195543	-1.8789822
0.014404296875	0.23955681150875796	0.10100344371328795	1.4168084
0.014892578125	0.920027051097851	0.5046847098314172	-0.6332910
0.015380859375	0.09949487325995832	0.7181097627379422	1.5225345
0.015869140625	0.21717683692090062	0.02844688670852835	0.7911350
0.016357421875	0.8336142451338368	0.37634757126351004	-1.4758344
0.016845703125	0.15716193336698547	0.899672448194344	0.2744707
0.017333984375	0.4468696416126807	0.7827704792793204	1.8888538
0.017822265625	0.182949322989982	0.9397888521636976	-0.2389755
0.018310546875	0.8984500547242312	0.5363409961508081	-2.6821759
0.018798828125	0.7037530621690553	0.094662376195914	-4.3615912
0.019287109375	0.7748665402204306	0.8442732028002976	0.7021245
0.019775390625	0.5861936876757239	0.3124002834859203	-2.7415258
0.020263671875	0.07053529365884303	0.7133712793715126	3.5392091
0.020751953125	0.5087668796617866	0.13938916351175423	0.1529266
0.021240234375	0.06721953496753152	0.6001587279544157	-0.7854605
0.021728515625	0.9937382758672109	0.6575244048170875	-2.1981366
0.022216796875	0.48826404178553706	0.38347635084648257	2.3144065
0.022705078125	0.8182772591509491	0.09359420564241838	0.0388250
0.023193359375	0.944376576004514	0.30935977072806575	2.0784389
0.023681640625	0.5505881850951113	0.5460388929198138	-3.9262087
