in0	!out0
-76.72178745269775	0.0
92.96935796737671	1.0
76.594078540802	1.0
-15.902626514434814	0.0
-0.8287310600280762	0.0
15.477228164672852	1.0
88.46802711486816	1.0
-51.36752128601074	0.0
10.025358200073242	1.0
37.84605264663696	1.0
-4.714715480804443	0.0
92.47913360595703	1.0
-31.165587902069092	0.0
-87.70164251327515	0.0
-79.21487092971802	0.0
-82.47424364089966	0.0
78.91228199005127	1.0
56.49850368499756	1.0
46.391260623931885	1.0
52.42370367050171	1.0
95.85011005401611	1.0
23.947548866271973	1.0
-69.92052793502808	0.0
68.64217519760132	1.0
-65.19412994384766	0.0
-19.070422649383545	0.0
-23.10100793838501	0.0
25.032544136047363	1.0
-26.875877380371094	0.0
17.60028600692749	1.0
86.22454404830933	1.0
-26.832175254821777	0.0
-80.5699110031128	0.0
-36.58015727996826	0.0
-21.866047382354736	0.0
-1.1842608451843262	0.0
-97.53274917602539	0.0
63.239192962646484	1.0
69.7774887084961	1.0
15.416145324707031	1.0
-23.82282018661499	0.0
95.39146423339844	1.0
22.219574451446533	1.0
-66.60774946212769	0.0
26.7889142036438	1.0
-26.648199558258057	0.0
60.48226356506348	1.0
13.18296194076538	1.0
3.29359769821167	1.0
11.191737651824951	1.0
41.571712493896484	1.0
-6.672859191894531	0.0
-12.650156021118164	0.0
72.48772382736206	1.0
11.594510078430176	1.0
31.384265422821045	1.0
15.687501430511475	1.0
-99.4286298751831	0.0
-32.47147798538208	0.0
95.59861421585083	1.0
45.778560638427734	1.0
-15.822136402130127	0.0
-38.37047815322876	0.0
-59.08365249633789	0.0
-93.11288595199585	0.0
84.84413623809814	1.0
-77.15754508972168	0.0
-70.38134336471558	0.0
-59.70484018325806	0.0
-95.8513617515564	0.0
17.601335048675537	1.0
75.0413179397583	1.0
91.01449251174927	1.0
32.55023956298828	1.0
-22.19843864440918	0.0
-15.603482723236084	0.0
-0.3368496894836426	0.0
0.6148815155029297	1.0
86.38471364974976	1.0
15.86698293685913	1.0
-39.92605209350586	0.0
-32.3155403137207	0.0
33.953857421875	1.0
52.54136323928833	1.0
72.43260145187378	1.0
-68.92493963241577	0.0
0.7318854331970215	1.0
53.00891399383545	1.0
41.241538524627686	1.0
-82.9743504524231	0.0
-17.38377809524536	0.0
16.769957542419434	1.0
97.84454107284546	1.0
-83.91940593719482	0.0
80.17271757125854	1.0
-16.357946395874023	0.0
-95.56335210800171	0.0
94.02509927749634	1.0
-22.994089126586914	0.0
13.878893852233887	1.0
5.852675437927246	1.0
-98.50335121154785	0.0
45.195746421813965	1.0
95.98050117492676	1.0
-10.048413276672363	0.0
-73.38205575942993	0.0
-95.85049152374268	0.0
7.584106922149658	1.0
-10.57041883468628	0.0
-58.235085010528564	0.0
-24.476289749145508	0.0
-10.512661933898926	0.0
-52.00772285461426	0.0
56.41845464706421	1.0
-82.35918283462524	0.0
-67.48920679092407	0.0
11.202383041381836	1.0
-74.01583194732666	0.0
86.68580055236816	1.0
14.407515525817871	1.0
-8.060121536254883	0.0
-38.88247013092041	0.0
22.70381450653076	1.0
44.329237937927246	1.0
-50.44429302215576	0.0
-92.1806812286377	0.0
25.30604600906372	1.0
21.0848331451416	1.0
95.80539464950562	1.0
12.5197172164917	1.0
-41.83236360549927	0.0
-18.85237693786621	0.0
56.20300769805908	1.0
59.12742614746094	1.0
15.501976013183594	1.0
-30.4121732711792	0.0
-44.311654567718506	0.0
-86.27508878707886	0.0
-12.480509281158447	0.0
28.06265354156494	1.0
-72.9526162147522	0.0
-70.15480995178223	0.0
15.319430828094482	1.0
-40.06232023239136	0.0
-10.078561305999756	0.0
-87.22628355026245	0.0
-96.50766849517822	0.0
-36.10343933105469	0.0
-7.971370220184326	0.0
-1.3936042785644531	0.0
60.209107398986816	1.0
-70.13908624649048	0.0
-86.82442903518677	0.0
11.193132400512695	1.0
18.145930767059326	1.0
-85.23651361465454	0.0
-87.54526376724243	0.0
48.65490198135376	1.0
-79.96282577514648	0.0
71.24872207641602	1.0
-53.99658679962158	0.0
-71.499764919281	0.0
80.98958730697632	1.0
64.58660364151001	1.0
-60.37052869796753	0.0
-33.502793312072754	0.0
18.67295503616333	1.0
66.99768304824829	1.0
61.59850358963013	1.0
-17.282259464263916	0.0
57.463538646698	1.0
20.16693353652954	1.0
77.4653434753418	1.0
