x	y	!hevysine
0.000000000000	0.6346075316319809	0.0000000
0.000244140625	0.4090928074385398	0.0289232
0.000488281250	0.34767074068505677	0.0578462
0.000732421875	0.9139763953212492	0.0867686
0.000976562500	0.5469510476361654	0.1156902
0.001220703125	0.35535777370686894	0.1446107
0.001464843750	0.15339110138415568	0.1735298
0.001708984375	0.8927648730332696	0.2024473
0.001953125000	0.3978864814044385	0.2313629
0.002197265625	0.9176012663540154	0.2602764
0.002441406250	0.17409195493649843	0.2891874
0.002685546875	0.506586986304992	0.3180956
0.002929687500	0.042319930061211264	0.3470009
0.003173828125	0.129308948076311	0.3759029
0.003417968750	0.279050881226764	0.4048013
0.003662109375	0.5057989528335561	0.4336960
0.003906250000	0.09387474650718652	0.4625865
0.004150390625	0.7611905401748822	0.4914727
0.004394531250	0.4050340137477757	0.5203543
0.004638671875	0.8474768142901007	0.5492310
0.004882812500	0.7833707614539641	0.5781025
0.005126953125	0.8559909755197089	0.6069686
0.005371093750	0.015243560297036995	0.6358290
0.005615234375	0.4778704131523459	0.6646833
0.005859375000	0.38635055805009	0.6935315
0.006103515625	0.7734875103086191	0.7223731
0.006347656250	0.20447589089789464	0.7512079
0.006591796875	0.26629423271717334	0.7800356
0.006835937500	0.22969302666469926	0.8088560
0.007080078125	0.5030280912112658	0.8376687
0.007324218750	0.8008626282834896	0.8664736
0.007568359375	0.8326731729853394	0.8952703
0.007812500000	0.2883309840304825	0.9240587
0.008056640625	0.6035040730233335	0.9528383
0.008300781250	0.5811686949658351	0.9816089
0.008544921875	0.0041249618242592545	1.0103703
0.008789062500	0.165316244615074	1.0391222
0.009033203125	0.7644408091493786	1.0678643
0.009277343750	0.7644723970440835	1.0965963
0.009521484375	0.16037597154423988	1.1253181
0.009765625000	0.811952376504209	1.1540292
0.010009765625	0.6469276862936766	1.1827295
0.010253906250	0.27815528073508866	1.2114186
0.010498046875	0.7834699259725398	1.2400964
0.010742187500	0.6894411777412829	1.2687625
0.010986328125	0.3593986156610083	1.2974166
0.011230468750	0.9004792723920308	1.3260585
0.011474609375	0.1141443639694929	1.3546879
0.011718750000	0.19946656280150565	1.3833046
0.011962890625	0.650813052515274	1.4119083
0.012207031250	0.27563236104730315	1.4404987
0.012451171875	0.9354128845207963	1.4690755
0.012695312500	0.11836495486539078	1.4976385
0.012939453125	0.6625767858515118	1.5261874
