x	y	z	!hevysine
0.000000000000	0.3406601722705611	0.8447642233328655	0.0000000
0.000244140625	0.6181981989723654	0.6090125002827357	0.0289232
0.000488281250	0.8631593269374963	0.8225262862888626	0.0578462
0.000732421875	0.20769382155059546	0.17272609778604475	0.0867686
0.000976562500	0.4877141111115243	0.5320442227236966	0.1156902
0.001220703125	0.9837737035045149	0.22689990195123388	0.1446107
0.001464843750	0.9884668668809478	0.7022861655094081	0.1735298
0.001708984375	0.1468542240666928	0.519884874211525	0.2024473
0.001953125000	0.6187038806065397	0.21309551230705814	0.2313629
0.002197265625	0.3843360680469856	0.06419082011590416	0.2602764
0.002441406250	0.9878938775875603	0.34063420366095254	0.2891874
0.002685546875	0.4143778766185736	0.23116362771762478	0.3180956
0.002929687500	0.8143494725918498	0.5374530193625854	0.3470009
0.003173828125	0.3105206115784914	0.8120065705727093	0.3759029
0.003417968750	0.9843280544337079	0.8735619253273058	0.4048013
0.003662109375	0.39198262019814734	0.5919288724052608	0.4336960
0.003906250000	0.09545868563383642	0.20725694484967339	0.4625865
0.004150390625	0.914641692268841	0.7547128333507599	0.4914727
0.004394531250	0.06570305006692112	0.0030923339785302595	0.5203543
0.004638671875	0.4041650816758844	0.6117486267106161	0.5492310
0.004882812500	0.4486274974995448	0.4692695158972948	0.5781025
0.005126953125	0.2354440550000293	0.7325937479689302	0.6069686
0.005371093750	0.8115839863691776	0.3478478398529802	0.6358290
0.005615234375	0.9814347775489491	0.5433715277962267	0.6646833
0.005859375000	0.9054687398390238	0.2585640792387863	0.6935315
0.006103515625	0.12970258069007545	0.8548314340981882	0.7223731
0.006347656250	0.38304645500818024	0.9706809789576012	0.7512079
0.006591796875	0.9964121118077136	0.5836516394475076	0.7800356
0.006835937500	0.5073993817079233	0.3571679435089904	0.8088560
0.007080078125	0.055201177113040845	0.1385715045627386	0.8376687
0.007324218750	0.6328802687420232	0.07164946707697029	0.8664736
0.007568359375	0.44232117338950927	0.5572004461424609	0.8952703
0.007812500000	0.23801844591761423	0.18094002441855506	0.9240587
0.008056640625	0.0996225530117566	0.4998565867510023	0.9528383
0.008300781250	0.9431492144667782	0.0846167936801373	0.9816089
0.008544921875	0.873409076878786	0.6335469932457836	1.0103703
0.008789062500	0.25510631932668726	0.05796452935942398	1.0391222
0.009033203125	0.8998796673507599	0.7722086950410163	1.0678643
0.009277343750	0.7471379435125307	0.6657594153280124	1.0965963
0.009521484375	0.7768225209545383	0.37858779265499276	1.1253181
0.009765625000	0.004277101081488599	0.11174210053477096	1.1540292
0.010009765625	0.346420483747259	0.6786416880003142	1.1827295
0.010253906250	0.942717287430298	0.312262073845324	1.2114186
0.010498046875	0.39547342000287744	0.6911072228817882	1.2400964
