x	y	z	w	!hevysine
0.000000000000	0.37465979847539543	0.4174711496252651	0.5477345362368417	0.0000000
0.000244140625	0.2741963608361019	0.9424258559256155	0.08899499998350346	0.0289232
0.000488281250	0.10348575429579421	0.5742023510635162	0.4495356124653642	0.0578462
0.000732421875	0.5402482590814587	0.3103226473435332	0.4946144826624428	0.0867686
0.000976562500	0.7555775428784409	0.32688815034878127	0.08847197176656807	0.1156902
0.001220703125	0.12084971086171747	0.6050867702486692	0.35418828559402615	0.1446107
0.001464843750	0.5994340450707774	0.4678611227462991	0.18880995076725082	0.1735298
0.001708984375	0.08550338708807326	0.7420987825521401	0.06696967152624567	0.2024473
0.001953125000	0.9877356036160734	0.32049444161772833	0.06012143798456582	0.2313629
0.002197265625	0.5596662556956699	0.1932552651444177	0.3621142327073974	0.2602764
0.002441406250	0.6962086293761452	0.30732594932376556	0.5329537475467108	0.2891874
0.002685546875	0.1852993298672181	0.8932230240347525	0.27284618081184475	0.3180956
0.002929687500	0.7739097544853423	0.17050867559078453	0.8125231674888767	0.3470009
0.003173828125	0.3335412227025403	0.5240206876491166	0.07169564046386534	0.3759029
0.003417968750	0.11671216123578221	0.74419555576676	0.20674822043760854	0.4048013
0.003662109375	0.15099458384971376	0.8469775494177525	0.6849990579635772	0.4336960
0.003906250000	0.2458144605412419	0.8313490176339047	0.6144616010039439	0.4625865
0.004150390625	0.7011571406366734	0.5637608118325124	0.7935032345936017	0.4914727
0.004394531250	0.02060994187406251	0.3692894022165206	0.47191489994522917	0.5203543
0.004638671875	0.17522504078275292	0.5232035346750127	0.7103007212111725	0.5492310
0.004882812500	0.909193386858929	0.4183222198554226	0.6727873632897335	0.5781025
0.005126953125	0.7092287120705946	0.7733014939280718	0.35296091248996764	0.6069686
0.005371093750	0.7584666329456389	0.7996423265939503	0.7802729095479992	0.6358290
0.005615234375	0.30898899413182956	0.42254932161333814	0.32348605845709366	0.6646833
0.005859375000	0.8869264621307722	0.4004136417875024	0.7302715299280245	0.6935315
0.006103515625	0.7868350386510076	0.815698759494797	0.6418763769259184	0.7223731
0.006347656250	0.5138502588827001	0.19784641759475963	0.6324448278444756	0.7512079
0.006591796875	0.22491566544301567	0.5493655813839556	0.8952626051802628	0.7800356
0.006835937500	0.6451815825264892	0.10700107408632797	0.2704822747527379	0.8088560
0.007080078125	0.05414251084628208	0.1153821161279397	0.04776922622431301	0.8376687
0.007324218750	0.27477878841199055	0.49006716180881127	0.40331056869373005	0.8664736
0.007568359375	0.3645867473976566	0.8364592025511265	0.4738862023115843	0.8952703
0.007812500000	0.20502172849629596	0.9735107712416451	0.0034814404823843015	0.9240587
0.008056640625	0.016142311744715587	0.481030762943061	0.7319126589629835	0.9528383
0.008300781250	0.627643353578227	0.48363095846716475	0.5252924689132717	0.9816089
0.008544921875	0.7054766371898766	0.8529252424336835	0.4701227417297007	1.0103703
0.008789062500	0.37801140660576515	0.7449791292608334	0.1703963086976673	1.0391222
0.009033203125	0.5590965649616705	0.44693789163721964	0.6772012930378294	1.0678643
0.009277343750	0.13724900831679387	0.9884016605725373	0.769186654290628	1.0965963
0.009521484375	0.48952130480395084	0.2530347078555749	0.25508709078691094	1.1253181
0.009765625000	0.8192488024698892	0.11917925052462108	0.2879299937964568	1.1540292
0.010009765625	0.3832073801705187	0.14874988038289072	0.8459021539072556	1.1827295
0.010253906250	0.5658726028393603	0.9182337643210658	0.4296397122403601	1.2114186
0.010498046875	0.8305221290771431	0.3196624342836787	0.7087701391343004	1.2400964
0.010742187500	0.6648829271874265	0.04241626844873292	0.2556314654750814	1.2687625
0.010986328125	0.18959377381503972	0.4293510881631313	0.6750417843428199	1.2974166
0.011230468750	0.8922443828607894	0.18961066028685947	0.008501337555075206	1.3260585
0.011474609375	0.16153536777888777	0.06999900679235871	0.254136172530974	1.3546879
0.011718750000	0.21355798583594932	0.07129124772211515	0.26925394578609696	1.3833046
0.011962890625	0.09298135588733114	0.46929712519584077	0.4936272093223878	1.4119083
0.012207031250	0.01811830913779988	0.04414634068812762	0.49416707887972333	1.4404987
0.012451171875	0.9960941402257681	0.7242965088287141	0.37749173890570187	1.4690755
0.012695312500	0.5223599541545341	0.882678571059525	0.7227884044141638	1.4976385
0.012939453125	0.8535800875675896	0.5535826317332065	0.2710943750964496	1.5261874
0.013183593750	0.19560385105484868	0.19994909576014985	0.5586583626089519	1.5547219
0.013427734375	0.4585541817944744	0.8901572863361631	0.070398793776967	1.5832418
0.013671875000	0.9177229781193764	0.15185684977272595	0.23976674676671306	1.6117468
0.013916015625	0.6124457925784961	0.6226619993237216	0.40032233145320606	1.6402366
0.014160156250	0.5726892125864494	0.983916669575934	0.9365689224141224	1.6687110
0.014404296875	0.4890508894809539	0.5853818702589583	0.031724456660072176	1.6971697
0.014648437500	0.27038623224842273	0.625178731844223	0.15118684517842929	1.7256124
0.014892578125	0.8741914622085601	0.01052494843133911	0.9812473740009939	1.7540389
0.015136718750	0.8373947158524975	0.3128520699233418	0.9111403732645942	1.7824488
0.015380859375	0.5474997699069153	0.21165003275538663	0.8404900532217513	1.8108420
0.015625000000	0.4508747795149044	0.2888608703071115	0.13291953413513913	1.8392181
0.015869140625	0.5092345661928694	0.24626087111965766	0.3025563588022523	1.8675769
0.016113281250	0.7427521929144963	0.07585974972449949	0.21261230111150942	1.8959182
0.016357421875	0.028768008103756015	0.7993173784707047	0.6510029467592311	1.9242416
0.016601562500	0.6681104110785656	0.07941971513512014	0.32971558419514213	1.9525469
0.016845703125	0.5448369713375966	0.9879293822642415	0.9191334880128129	1.9808338
0.017089843750	0.3153140152146915	0.1238022005916567	0.7326245490026816	2.0091020
0.017333984375	0.4575902304101218	0.2703668654043764	0.2713243379541833	2.0373514
0.017578125000	0.3986415848491428	0.5939747582663436	0.1259383670150621	2.0655815
0.017822265625	0.4800143938142879	0.06868691524425075	0.8918808916700176	2.0937923
0.018066406250	0.7891539264451345	0.6936674055753737	0.27583303622432565	2.1219833
0.018310546875	0.856996712408504	0.1120631308775113	0.7644469093520341	2.1501544
0.018554687500	0.33761422118519835	0.740086099043658	0.7749055596833928	2.1783052
0.018798828125	0.7939624353209339	0.265002072512058	0.3942276748286564	2.2064355
0.019042968750	0.76532870976037	0.6865175664353614	0.10603245398589989	2.2345450
0.019287109375	0.4779675959229065	0.7181148889646576	0.9586264354286786	2.2626335
0.019531250000	0.24498823527940283	0.2149880042776232	0.3692316001895969	2.2907008
0.019775390625	0.22096720598922692	0.745425425317436	0.9960884414517934	2.3187464
0.020019531250	0.773528162568877	0.7772604366594673	0.29896259391627533	2.3467702
